url,domain,parsed_url,protocol,tld,generic_tld,country_code_tld
https://www.factorybuys.com.au/products/euro-top-mattress-king,factorybuys.com.au,"ParseResult(scheme='https', netloc='www.factorybuys.com.au', path='/products/euro-top-mattress-king', params='', query='', fragment='')",1,com.au,com,au
https://dunlin.com.au/products/beadlight-cirrus,dunlin.com.au,"ParseResult(scheme='https', netloc='dunlin.com.au', path='/products/beadlight-cirrus', params='', query='', fragment='')",1,com.au,com,au
https://themodern.net.au/products/hamar-plant-stand-ash,themodern.net.au,"ParseResult(scheme='https', netloc='themodern.net.au', path='/products/hamar-plant-stand-ash', params='', query='', fragment='')",1,net.au,net,au
https://furniturefetish.com.au/products/oslo-office-chair-white,furniturefetish.com.au,"ParseResult(scheme='https', netloc='furniturefetish.com.au', path='/products/oslo-office-chair-white', params='', query='', fragment='')",1,com.au,com,au
https://hemisphereliving.com.au/products/,hemisphereliving.com.au,"ParseResult(scheme='https', netloc='hemisphereliving.com.au', path='/products/', params='', query='', fragment='')",1,com.au,com,au
https://home-buy.com.au/products/bridger-pendant-larger-lamp-metal-brass,home-buy.com.au,"ParseResult(scheme='https', netloc='home-buy.com.au', path='/products/bridger-pendant-larger-lamp-metal-brass', params='', query='', fragment='')",1,com.au,com,au
https://interiorsonline.com.au/products/interiors-online-gift-card,interiorsonline.com.au,"ParseResult(scheme='https', netloc='interiorsonline.com.au', path='/products/interiors-online-gift-card', params='', query='', fragment='')",1,com.au,com,au
https://beckurbanfurniture.com.au/products/page/2/,beckurbanfurniture.com.au,"ParseResult(scheme='https', netloc='beckurbanfurniture.com.au', path='/products/page/2/', params='', query='', fragment='')",1,com.au,com,au
https://livingedge.com.au/products/tables/dining,livingedge.com.au,"ParseResult(scheme='https', netloc='livingedge.com.au', path='/products/tables/dining', params='', query='', fragment='')",1,com.au,com,au
https://edenliving.online/collections/summerloving/products/nice-lounge-1,edenliving.online,"ParseResult(scheme='https', netloc='edenliving.online', path='/collections/summerloving/products/nice-lounge-1', params='', query='', fragment='')",1,online,online,
https://www.ourfurniturewarehouse.com.au/products/athens-3pce-lounge-includes-2x-armless-3-seater-and-corner-ottoman-in-grey-storm-fabric?_pos=1&_sid=9f9ca4320&_ss=r,ourfurniturewarehouse.com.au,"ParseResult(scheme='https', netloc='www.ourfurniturewarehouse.com.au', path='/products/athens-3pce-lounge-includes-2x-armless-3-seater-and-corner-ottoman-in-grey-storm-fabric', params='', query='_pos=1&_sid=9f9ca4320&_ss=r', fragment='')",1,com.au,com,au
https://cane-line.co.uk/collections/news-2020/products/breeze-sunbed-5569,cane-line.co.uk,"ParseResult(scheme='https', netloc='cane-line.co.uk', path='/collections/news-2020/products/breeze-sunbed-5569', params='', query='', fragment='')",1,co.uk,co,uk
https://haute-living.com/products/beam-desk,haute-living.com,"ParseResult(scheme='https', netloc='haute-living.com', path='/products/beam-desk', params='', query='', fragment='')",1,com,com,
